iter,Lik1,Lik2,chain
15,201666.7504,173672.4251,1
17,188616.5586,148888.3788,1
19,188606.254,148888.3788,1
21,188257.5035,148888.3788,1
23,186714.2206,148888.3788,1
25,186648.3926,148888.3788,1
27,186390.1189,148888.3788,1
29,186353.9255,148888.3788,1
31,186281.9103,148888.3788,1
33,186092.032,148888.3788,1
35,185746.9189,148888.3788,1
37,185642.2515,148888.3788,1
39,184581.3361,148888.3788,1
41,183289.1337,148888.3788,1
43,176810.2277,148888.3788,1
45,175904.9356,148888.3788,1
47,174068.7222,148888.3788,1
49,173760.9624,135311.9185,1
51,173672.4251,135311.9185,1
53,171964.3347,135311.9185,1
55,170075.7291,135311.9185,1
57,167592.8354,115778.597,1
59,165124.0647,115778.597,1
61,162422.2747,115778.597,1
63,159407.853,115778.597,1
65,155797.3069,115778.597,1
67,152575.8732,115778.597,1
69,152345.3788,115778.597,1
71,150349.2949,97669.74841,1
73,149789.6749,97669.74841,1
75,148888.3788,97669.74841,1
77,143198.9212,97669.74841,1
79,135777.1724,82629.8803,1
81,135403.8252,82629.8803,1
83,135311.9185,82629.8803,1
85,127803.1228,82629.8803,1
87,124810.212,82629.8803,1
89,122285.4265,82629.8803,1
91,120029.568,82629.8803,1
93,118526.6994,74055.7436,1
95,116358.6749,74055.7436,1
97,115778.597,74055.7436,1
99,106630.1503,74055.7436,1
101,101935.4457,74055.7436,1
103,98757.68411,74055.7436,1
105,97669.74841,73313.33065,1
107,95843.38915,73159.0388,1
109,91430.07204,71095.36435,1
111,87338.26977,71095.36435,1
113,86798.5928,71095.36435,1
115,85134.50634,71095.36435,1
117,83135.7076,71095.36435,1
119,82629.8803,71095.36435,1
121,77444.52246,71095.36435,1
123,75891.35644,71095.36435,1
125,75167.36108,71095.36435,1
127,74699.85088,71095.36435,1
129,74325.14119,71095.36435,1
131,74092.32036,71095.36435,1
133,74055.7436,71095.36435,1
135,73453.97547,71095.36435,1
137,73378.03875,71095.36435,1
139,73313.33065,71095.36435,1
141,73209.31922,71095.36435,1
143,73159.0388,71095.36435,1
145,72962.01541,71095.36435,1
147,72920.97928,71095.36435,1
149,72920.14167,71095.36435,1
151,72848.61771,70513.33303,1
153,72821.89993,70513.33303,1
155,72672.92293,69156.211,1
157,72331.349,69156.211,1
159,71965.07705,69156.211,1
161,71817.75359,69156.211,1
163,71755.76893,69156.211,1
165,71670.48725,69156.211,1
167,71635.78655,69156.211,1
169,71596.39854,69156.211,1
171,71483.68368,68028.7911,1
173,71373.41572,68028.7911,1
175,71266.70955,68028.7911,1
177,71095.36435,68028.7911,1
179,70811.59258,68028.7911,1
181,70574.19509,68028.7911,1
183,70513.33303,68028.7911,1
185,70018.57832,68028.7911,1
187,69882.38363,67708.31939,1
189,69881.56563,67708.31939,1
191,69851.53963,66978.77033,1
193,69788.47021,66978.77033,1
195,69476.93884,66452.1442,1
197,69156.211,66452.1442,1
199,68724.108,66452.1442,1
201,68634.08801,66452.1442,1
203,68509.10942,66452.1442,1
205,68213.0269,66452.1442,1
207,68208.81393,66452.1442,1
209,68103.42055,66452.1442,1
211,68097.41369,66452.1442,1
213,68037.06434,66452.1442,1
215,68028.7911,66452.1442,1
217,67708.31939,66331.12812,1
219,67107.59499,66331.12812,1
221,67106.44406,66331.12812,1
223,66978.77033,66245.55072,1
225,66767.23936,66194.20645,1
227,66726.92025,66194.20645,1
229,66701.66392,66194.20645,1
231,66669.3402,66194.20645,1
233,66621.36266,66194.20645,1
235,66554.82874,66194.20645,1
237,66484.13688,66194.20645,1
239,66483.24359,66194.20645,1
241,66457.5596,66194.20645,1
243,66453.08044,66194.20645,1
245,66452.1442,66051.69486,1
247,66397.58766,66051.69486,1
249,66340.35882,66051.69486,1
251,66331.12812,66051.69486,1
253,66327.58003,66051.69486,1
255,66311.53854,66051.69486,1
257,66285.08806,66051.69486,1
259,66276.75027,66051.69486,1
261,66275.6842,66051.69486,1
263,66273.60117,66051.69486,1
265,66256.04726,66051.69486,1
267,66245.55072,66051.69486,1
269,66243.48815,66051.69486,1
271,66219.60862,66051.69486,1
273,66194.20645,66051.69486,1
275,66190.52496,66051.69486,1
277,66168.81184,66045.28135,1
279,66165.23086,66045.28135,1
281,66158.27081,66042.27139,1
283,66152.47285,66042.27139,1
285,66144.97323,66021.92117,1
287,66132.23021,66021.92117,1
289,66114.35913,66009.82972,1
291,66108.69852,66009.82972,1
293,66101.99522,66009.82972,1
295,66088.78037,66000.83797,1
297,66066.0223,65992.5592,1
299,66064.66881,65992.5592,1
301,66054.72195,65992.5592,1
303,66051.69486,65992.5592,1
305,66049.11031,65992.5592,1
307,66045.28135,65992.5592,1
309,66044.19429,65992.5592,1
311,66042.27139,65988.10449,1
313,66040.10796,65956.50484,1
315,66036.90921,65956.50484,1
317,66026.90021,65956.50484,1
319,66023.45879,65956.50484,1
321,66021.92117,65956.50484,1
323,66015.10422,65956.50484,1
325,66011.15466,65923.6807,1
327,66009.82972,65923.6807,1
329,66004.91269,65923.6807,1
331,66000.83797,65923.6807,1
333,65994.0539,65923.6807,1
335,65993.08369,65923.6807,1
337,65992.5592,65923.6807,1
339,65988.10449,65889.04814,1
341,65979.24884,65889.04814,1
343,65969.37062,65889.04814,1
345,65961.53878,65889.04814,1
347,65959.94217,65889.04814,1
349,65959.13123,65889.04814,1
351,65957.40256,65877.30179,1
353,65956.50484,65877.30179,1
355,65951.34987,65877.30179,1
357,65937.36081,65870.25069,1
359,65936.3557,65864.5325,1
361,65933.61717,65855.17324,1
363,65928.59772,65855.17324,1
365,65923.6807,65845.55039,1
367,65914.53333,65845.55039,1
369,65913.77166,65836.37223,1
371,65898.78872,65835.70306,1
373,65897.33958,65835.70306,1
375,65894.79605,65835.70306,1
