  Nelder-Mead direct search function minimizer
function value for initial parameters = 186281.910279
  Scaled convergence tolerance is 0.00277582
Stepsize computed as 0.299573
BUILD             15 201666.750360 173672.425127
EXTENSION         17 188616.558622 148888.378824
LO-REDUCTION      19 188606.254013 148888.378824
LO-REDUCTION      21 188257.503509 148888.378824
LO-REDUCTION      23 186714.220635 148888.378824
LO-REDUCTION      25 186648.392576 148888.378824
LO-REDUCTION      27 186390.118865 148888.378824
LO-REDUCTION      29 186353.925531 148888.378824
LO-REDUCTION      31 186281.910279 148888.378824
LO-REDUCTION      33 186092.032004 148888.378824
LO-REDUCTION      35 185746.918886 148888.378824
LO-REDUCTION      37 185642.251459 148888.378824
LO-REDUCTION      39 184581.336094 148888.378824
LO-REDUCTION      41 183289.133704 148888.378824
LO-REDUCTION      43 176810.227679 148888.378824
LO-REDUCTION      45 175904.935643 148888.378824
LO-REDUCTION      47 174068.722219 148888.378824
EXTENSION         49 173760.962431 135311.918479
LO-REDUCTION      51 173672.425127 135311.918479
LO-REDUCTION      53 171964.334726 135311.918479
LO-REDUCTION      55 170075.729065 135311.918479
EXTENSION         57 167592.835398 115778.597027
LO-REDUCTION      59 165124.064700 115778.597027
LO-REDUCTION      61 162422.274688 115778.597027
LO-REDUCTION      63 159407.853003 115778.597027
LO-REDUCTION      65 155797.306878 115778.597027
LO-REDUCTION      67 152575.873226 115778.597027
LO-REDUCTION      69 152345.378765 115778.597027
EXTENSION         71 150349.294857 97669.748411
LO-REDUCTION      73 149789.674880 97669.748411
LO-REDUCTION      75 148888.378824 97669.748411
LO-REDUCTION      77 143198.921151 97669.748411
EXTENSION         79 135777.172365 82629.880303
LO-REDUCTION      81 135403.825173 82629.880303
LO-REDUCTION      83 135311.918479 82629.880303
LO-REDUCTION      85 127803.122825 82629.880303
LO-REDUCTION      87 124810.212005 82629.880303
LO-REDUCTION      89 122285.426546 82629.880303
LO-REDUCTION      91 120029.567954 82629.880303
EXTENSION         93 118526.699414 74055.743597
LO-REDUCTION      95 116358.674912 74055.743597
LO-REDUCTION      97 115778.597027 74055.743597
LO-REDUCTION      99 106630.150342 74055.743597
LO-REDUCTION     101 101935.445716 74055.743597
LO-REDUCTION     103 98757.684112 74055.743597
EXTENSION        105 97669.748411 73313.330651
REFLECTION       107 95843.389149 73159.038798
REFLECTION       109 91430.072040 71095.364349
LO-REDUCTION     111 87338.269770 71095.364349
LO-REDUCTION     113 86798.592797 71095.364349
LO-REDUCTION     115 85134.506342 71095.364349
LO-REDUCTION     117 83135.707604 71095.364349
LO-REDUCTION     119 82629.880303 71095.364349
LO-REDUCTION     121 77444.522463 71095.364349
LO-REDUCTION     123 75891.356442 71095.364349
LO-REDUCTION     125 75167.361082 71095.364349
LO-REDUCTION     127 74699.850876 71095.364349
LO-REDUCTION     129 74325.141187 71095.364349
HI-REDUCTION     131 74092.320364 71095.364349
LO-REDUCTION     133 74055.743597 71095.364349
LO-REDUCTION     135 73453.975467 71095.364349
LO-REDUCTION     137 73378.038751 71095.364349
LO-REDUCTION     139 73313.330651 71095.364349
LO-REDUCTION     141 73209.319222 71095.364349
LO-REDUCTION     143 73159.038798 71095.364349
LO-REDUCTION     145 72962.015407 71095.364349
LO-REDUCTION     147 72920.979275 71095.364349
LO-REDUCTION     149 72920.141673 71095.364349
EXTENSION        151 72848.617710 70513.333031
LO-REDUCTION     153 72821.899926 70513.333031
EXTENSION        155 72672.922929 69156.211003
LO-REDUCTION     157 72331.348997 69156.211003
LO-REDUCTION     159 71965.077049 69156.211003
LO-REDUCTION     161 71817.753586 69156.211003
LO-REDUCTION     163 71755.768931 69156.211003
LO-REDUCTION     165 71670.487246 69156.211003
LO-REDUCTION     167 71635.786547 69156.211003
LO-REDUCTION     169 71596.398536 69156.211003
EXTENSION        171 71483.683677 68028.791097
LO-REDUCTION     173 71373.415721 68028.791097
LO-REDUCTION     175 71266.709554 68028.791097
LO-REDUCTION     177 71095.364349 68028.791097
LO-REDUCTION     179 70811.592579 68028.791097
LO-REDUCTION     181 70574.195088 68028.791097
